tanggal_data,komoditas,kategori,harga_per_kg,satuan_original,faktor_konversi
2021-05-01,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-05-02,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-05-03,Bawang Merah,BAWANG,29000.0,kg,1.0
2021-05-04,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-05-05,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-05-06,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-05-07,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-05-08,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-05-09,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-05-10,Bawang Merah,BAWANG,30000.0,kg,1.0
2021-05-11,Bawang Merah,BAWANG,29600.0,kg,1.0
2021-05-12,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-05-13,Bawang Merah,BAWANG,31000.0,kg,1.0
2021-05-14,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-05-15,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-05-16,Bawang Merah,BAWANG,31000.0,kg,1.0
2021-05-17,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-05-18,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-05-19,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-05-20,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-05-21,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-05-22,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-05-23,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-05-24,Bawang Merah,BAWANG,29600.0,kg,1.0
2021-05-25,Bawang Merah,BAWANG,30000.0,kg,1.0
2021-05-26,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-05-27,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-05-28,Bawang Merah,BAWANG,29400.0,kg,1.0
2021-05-29,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-05-30,Bawang Merah,BAWANG,29400.0,kg,1.0
2021-05-31,Bawang Merah,BAWANG,29000.0,kg,1.0
2021-06-01,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-06-02,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-03,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-04,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-06-05,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-06-06,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-07,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-08,Bawang Merah,BAWANG,28000.0,kg,1.0
2021-06-09,Bawang Merah,BAWANG,27800.0,kg,1.0
2021-06-10,Bawang Merah,BAWANG,27600.0,kg,1.0
2021-06-11,Bawang Merah,BAWANG,27600.0,kg,1.0
2021-06-12,Bawang Merah,BAWANG,27600.0,kg,1.0
2021-06-13,Bawang Merah,BAWANG,27600.0,kg,1.0
2021-06-14,Bawang Merah,BAWANG,27600.0,kg,1.0
2021-06-15,Bawang Merah,BAWANG,27600.0,kg,1.0
2021-06-16,Bawang Merah,BAWANG,27400.0,kg,1.0
2021-06-17,Bawang Merah,BAWANG,27200.0,kg,1.0
2021-06-18,Bawang Merah,BAWANG,27200.0,kg,1.0
2021-06-19,Bawang Merah,BAWANG,27200.0,kg,1.0
2021-06-20,Bawang Merah,BAWANG,27200.0,kg,1.0
2021-06-21,Bawang Merah,BAWANG,27200.0,kg,1.0
2021-06-22,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-23,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-24,Bawang Merah,BAWANG,28600.0,kg,1.0
2021-06-25,Bawang Merah,BAWANG,28800.0,kg,1.0
2021-06-26,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-06-27,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-06-28,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-06-29,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-06-30,Bawang Merah,BAWANG,29800.0,kg,1.0
2021-07-01,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-07-02,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-07-03,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-07-04,Bawang Merah,BAWANG,31000.0,kg,1.0
2021-07-05,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-07-06,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-07-07,Bawang Merah,BAWANG,30600.0,kg,1.0
2021-07-08,Bawang Merah,BAWANG,30200.0,kg,1.0
2021-07-09,Bawang Merah,BAWANG,30400.0,kg,1.0
2021-07-10,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-07-11,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-07-12,Bawang Merah,BAWANG,29200.0,kg,1.0
2021-07-13,Bawang Merah,BAWANG,29600.0,kg,1.0
2021-07-14,Bawang Merah,BAWANG,29600.0,kg,1.0
2021-07-15,Bawang Merah,BAWANG,30000.0,kg,1.0
2021-07-16,Bawang Merah,BAWANG,30000.0,kg,1.0
2021-07-17,Bawang Merah,BAWANG,29600.0,kg,1.0
2021-07-18,Bawang Merah,BAWANG,30000.0,kg,1.0
2021-07-19,Bawang Merah,BAWANG,30400.0,kg,1.0
2021-07-20,Bawang Merah,BAWANG,30800.0,kg,1.0
2021-07-21,Bawang Merah,BAWANG,30400.0,kg,1.0
2021-07-22,Bawang Merah,BAWANG,31400.0,kg,1.0
2021-07-23,Bawang Merah,BAWANG,31800.0,kg,1.0
2021-07-24,Bawang Merah,BAWANG,31200.0,kg,1.0
2021-07-25,Bawang Merah,BAWANG,31200.0,kg,1.0
2021-07-26,Bawang Merah,BAWANG,31200.0,kg,1.0
2021-07-27,Bawang Merah,BAWANG,32600.0,kg,1.0
2021-07-28,Bawang Merah,BAWANG,32600.0,kg,1.0
2021-07-29,Bawang Merah,BAWANG,33400.0,kg,1.0
2021-07-30,Bawang Merah,BAWANG,33400.0,kg,1.0
