komoditas,cv,mean_harga,trend_slope,cluster,dist,is_centroid,cluster_label
Bawang Merah,0.21877572466712483,32698.965013774105,0.04494134673135798,1,0.2824234621757211,False,Cluster 1: Labil & Murah (↑Inflasi)
Bawang Putih Sinco/Honan,0.19183572571031232,30815.329476584022,0.09855539604469206,1,0.4666909556880349,False,Cluster 1: Labil & Murah (↑Inflasi)
Beras Medium,0.13798325913318618,11159.576308539945,0.0885544198938267,1,0.37738173226893895,False,Cluster 1: Labil & Murah (↑Inflasi)
Beras Premium,0.09093875701636318,13937.703581267218,0.05885991467373715,1,0.15801315466290236,False,Cluster 1: Labil & Murah (↑Inflasi)
Cabe Merah Besar,0.3822047909461729,35732.13719008264,0.011688922131931182,0,0.06525189739585431,True,Cluster 0: Labil & Murah (→Datar)
Cabe Merah Keriting,0.3466684571570518,37851.1476584022,0.015206627117977904,0,0.07555398264377529,False,Cluster 0: Labil & Murah (→Datar)
Cabe Rawit Merah,0.4487443755000488,44149.73388429752,0.03625486083253146,0,0.31698922611762487,False,Cluster 0: Labil & Murah (→Datar)
Daging Ayam Kampung,0.04097255623219648,63503.13994490358,0.004087504711686669,2,0.28711180805029146,False,Cluster 2: Stabil & Mahal (→Datar)
Daging Ayam Ras,0.07502994404550437,33790.37520661157,0.02230070116843864,1,0.207188067009172,False,Cluster 1: Labil & Murah (↑Inflasi)
Daging Sapi Paha Belakang,0.020005363258104116,111109.2787878788,0.010788396464200363,2,0.19316422120034543,False,Cluster 2: Stabil & Mahal (→Datar)
Gula Kristal Putih,0.1371316171242006,14884.302479338843,0.08706018457001545,1,0.3530625644312238,False,Cluster 1: Labil & Murah (↑Inflasi)
Ikan Asin Teri,0.050531906187222975,85125.34435261707,0.0034316965591011154,2,0.09885505097783613,True,Cluster 2: Stabil & Mahal (→Datar)
Ikan Bandeng,0.05840334583772611,38148.38292011019,0.033334355018667904,1,0.17624900036713104,False,Cluster 1: Labil & Murah (↑Inflasi)
Ikan Cakalang,0.06666414054522025,41588.01652892562,0.03827807527573533,1,0.17697394938602726,False,Cluster 1: Labil & Murah (↑Inflasi)
Ikan Kembung,0.10927617726725647,39944.747107438016,0.058056481874808157,1,0.16827868113331698,False,Cluster 1: Labil & Murah (↑Inflasi)
Ikan Tongkol,0.049412543029830766,39372.63305785124,0.026451403591882614,1,0.22726528012235758,False,Cluster 1: Labil & Murah (↑Inflasi)
Ikan Tuna,0.08530371407064898,43085.21787093216,0.04562364110515086,1,0.16929957900481668,False,Cluster 1: Labil & Murah (↑Inflasi)
Indomie Rasa Kari Ayam,0.09633848950537069,35166.38470264138,0.05359934019212521,1,0.10647868371513802,False,Cluster 1: Labil & Murah (↑Inflasi)
Jagung Pipilan Kering,0.04844752125976788,10540.476584022039,0.015271848573160236,1,0.3069793438544347,False,Cluster 1: Labil & Murah (↑Inflasi)
Kedelai Impor,0.07983523309536121,14713.968044077135,0.0399749608753809,1,0.12908203711589517,False,Cluster 1: Labil & Murah (↑Inflasi)
Kedelai Lokal,0.12319579478362173,14046.802106430156,0.04928016347931849,1,0.1380757729660367,False,Cluster 1: Labil & Murah (↑Inflasi)
Minyak Goreng Curah,0.1210326459324599,16993.246280991734,0.05210681883625358,1,0.1176503947984181,False,Cluster 1: Labil & Murah (↑Inflasi)
Minyak Goreng Kemasan Premium,0.08634653418682366,19690.030089179978,-0.0005134982958896478,1,0.37314713216813644,False,Cluster 1: Labil & Murah (↑Inflasi)
Minyak Goreng Kemasan Sederhana,0.0,16304.347826086956,0.0,1,0.43201435963836327,False,Cluster 1: Labil & Murah (↑Inflasi)
Minyak Goreng MINYAKITA,0.06354656440610622,16167.995261770497,0.05443102441736959,1,0.1387962980717314,False,Cluster 1: Labil & Murah (↑Inflasi)
Susu Bubuk Merk Bendera (Instant),0.03578154826629305,101759.76104830421,0.03462491066134489,2,0.21379532150058952,False,Cluster 2: Stabil & Mahal (→Datar)
Susu Bubuk Merk Indomilk (Instant),0.0,97500.0,0.0,2,0.12019400350723973,False,Cluster 2: Stabil & Mahal (→Datar)
Susu Kental Manis Merk Bendera,0.04014397539446684,34003.66763457673,0.023758152560631803,1,0.22848765623343106,False,Cluster 1: Labil & Murah (↑Inflasi)
Susu Kental Manis Merk Indomilk,0.07907612182647109,32494.426327153597,0.04871090034657424,1,0.07503025973714005,False,Cluster 1: Labil & Murah (↑Inflasi)
Telur Ayam Kampung,0.13371848951936144,41319.322865013775,0.07753393601493061,1,0.3010269824665669,False,Cluster 1: Labil & Murah (↑Inflasi)
Telur Ayam Ras,0.0991113189143807,26647.32561983471,0.04306003104121195,1,0.026074506921191013,True,Cluster 1: Labil & Murah (↑Inflasi)
Terigu Protein Sedang (Kemasan),0.09947915496545763,11699.224242424243,0.048712800290406,1,0.14601678339910415,False,Cluster 1: Labil & Murah (↑Inflasi)
Tomat Merah,0.2544819080930971,14012.732231404958,-0.028667370476872567,0,0.4177930128761018,False,Cluster 0: Labil & Murah (→Datar)
