ds,y
2021-05-07,42000.0
2021-05-08,43000.0
2021-05-09,45000.0
2021-05-10,47000.0
2021-05-11,48400.0
2021-05-12,49400.0
2021-05-13,51000.0
2021-05-14,49000.0
2021-05-15,49000.0
2021-05-16,48000.0
2021-05-17,44400.0
2021-05-18,42600.0
2021-05-19,40600.0
2021-05-20,39000.0
2021-05-21,36800.0
2021-05-22,36200.0
2021-05-23,36200.0
2021-05-24,31400.0
2021-05-25,31400.0
2021-05-26,30400.0
2021-05-27,28000.0
2021-05-28,27000.0
2021-05-29,26000.0
2021-05-30,26000.0
2021-05-31,27000.0
2021-06-01,25400.0
2021-06-02,24000.0
2021-06-03,25000.0
2021-06-04,24600.0
2021-06-05,24600.0
2021-06-06,24600.0
2021-06-07,24600.0
2021-06-08,22200.0
2021-06-09,21200.0
2021-06-10,21600.0
2021-06-11,21400.0
2021-06-12,21400.0
2021-06-13,21400.0
2021-06-14,21400.0
2021-06-15,21400.0
2021-06-16,20600.0
2021-06-17,18200.0
2021-06-18,18200.0
2021-06-19,18200.0
2021-06-20,18200.0
2021-06-21,18200.0
2021-06-22,18600.0
2021-06-23,19200.0
2021-06-24,19200.0
2021-06-25,18800.0
2021-06-26,19200.0
2021-06-27,19600.0
2021-06-28,21200.0
2021-06-29,20800.0
2021-06-30,18400.0
2021-07-01,18800.0
2021-07-02,18200.0
2021-07-03,18200.0
2021-07-04,18200.0
2021-07-05,17600.0
2021-07-06,17800.0
2021-07-07,18000.0
2021-07-08,18000.0
2021-07-09,17800.0
2021-07-10,18000.0
2021-07-11,18000.0
2021-07-12,18000.0
2021-07-13,17600.0
2021-07-14,17600.0
2021-07-15,17400.0
2021-07-16,17400.0
2021-07-17,18000.0
2021-07-18,17600.0
2021-07-19,17800.0
2021-07-20,19800.0
2021-07-21,20400.0
2021-07-22,18400.0
2021-07-23,19200.0
2021-07-24,18000.0
2021-07-25,18600.0
2021-07-26,17200.0
2021-07-27,17600.0
2021-07-28,17200.0
2021-07-29,17600.0
2021-07-30,17600.0
2021-07-31,17400.0
2021-08-01,17400.0
2021-08-02,17400.0
2021-08-03,16800.0
2021-08-04,16600.0
2021-08-05,17000.0
2021-08-06,16600.0
2021-08-07,16600.0
2021-08-08,15800.0
2021-08-09,16000.0
2021-08-10,16000.0
2021-08-11,15800.0
2021-08-12,17600.0
2021-08-13,17000.0
2021-08-14,16200.0
2021-08-15,16400.0
2021-08-16,16400.0
2021-08-17,16200.0
2021-08-18,17200.0
2021-08-19,17000.0
2021-08-20,17000.0
2021-08-21,16000.0
2021-08-22,16400.0
2021-08-23,16800.0
2021-08-24,16000.0
2021-08-25,16000.0
2021-08-26,15800.0
2021-08-27,15600.0
2021-08-28,15400.0
2021-08-29,15400.0
2021-08-30,15200.0
2021-08-31,15000.0
2021-09-01,15000.0
2021-09-02,15200.0
2021-09-03,15200.0
2021-09-04,15000.0
2021-09-05,15000.0
2021-09-06,16200.0
2021-09-07,16600.0
2021-09-08,16000.0
2021-09-09,17000.0
2021-09-10,17400.0
2021-09-11,16600.0
2021-09-12,16600.0
2021-09-13,16800.0
2021-09-14,16800.0
2021-09-15,17400.0
2021-09-16,16800.0
2021-09-17,16400.0
2021-09-18,17000.0
2021-09-19,16600.0
2021-09-20,16800.0
2021-09-21,17200.0
2021-09-22,16600.0
2021-09-23,17200.0
2021-09-24,17200.0
2021-09-25,16600.0
2021-09-26,16600.0
2021-09-27,20000.0
2021-09-28,18400.0
2021-09-29,18000.0
2021-09-30,18200.0
2021-10-01,20000.0
2021-10-02,21000.0
2021-10-03,22600.0
2021-10-04,25000.0
2021-10-05,24800.0
2021-10-06,24800.0
2021-10-07,27000.0
2021-10-08,27000.0
2021-10-09,28000.0
2021-10-10,28000.0
2021-10-11,27000.0
2021-10-12,27000.0
2021-10-13,27000.0
2021-10-14,25600.0
2021-10-15,25600.0
2021-10-16,25600.0
2021-10-17,25600.0
2021-10-18,24800.0
2021-10-19,23800.0
2021-10-20,23800.0
2021-10-21,22800.0
2021-10-22,22600.0
2021-10-23,22600.0
2021-10-24,22600.0
2021-10-25,22600.0
2021-10-26,22600.0
2021-10-27,22600.0
2021-10-28,21200.0
2021-10-29,20600.0
2021-10-30,20200.0
2021-10-31,19400.0
2021-11-01,19600.0
2021-11-02,19800.0
2021-11-03,24800.0
2021-11-04,24200.0
2021-11-05,24600.0
2021-11-06,24800.0
2021-11-07,25600.0
2021-11-08,26200.0
2021-11-09,27000.0
2021-11-10,29200.0
2021-11-11,30000.0
2021-11-12,27000.0
2021-11-13,27400.0
2021-11-14,27600.0
2021-11-15,29000.0
2021-11-16,28600.0
2021-11-17,29000.0
2021-11-18,29000.0
2021-11-19,31000.0
2021-11-20,30400.0
2021-11-21,30800.0
2021-11-22,34400.0
2021-11-23,32800.0
2021-11-24,32800.0
2021-11-25,32400.0
2021-11-26,33000.0
2021-11-27,33000.0
2021-11-28,33000.0
2021-11-29,33400.0
2021-11-30,34600.0
2021-12-01,35200.0
2021-12-02,36200.0
2021-12-03,37200.0
2021-12-04,39000.0
2021-12-05,38000.0
2021-12-06,39200.0
2021-12-07,38800.0
