ds,y
2021-05-07,21400.0
2021-05-08,21200.0
2021-05-09,21200.0
2021-05-10,21200.0
2021-05-11,21400.0
2021-05-12,21400.0
2021-05-13,21600.0
2021-05-14,21600.0
2021-05-15,21400.0
2021-05-16,21400.0
2021-05-17,22000.0
2021-05-18,22000.0
2021-05-19,22400.0
2021-05-20,22200.0
2021-05-21,22400.0
2021-05-22,22400.0
2021-05-23,22400.0
2021-05-24,22400.0
2021-05-25,22400.0
2021-05-26,22700.0
2021-05-27,22800.0
2021-05-28,22800.0
2021-05-29,23500.0
2021-05-30,24100.0
2021-05-31,24100.0
2021-06-01,24100.0
2021-06-02,24000.0
2021-06-03,24000.0
2021-06-04,24000.0
2021-06-05,23900.0
2021-06-06,23900.0
2021-06-07,24000.0
2021-06-08,23600.0
2021-06-09,23800.0
2021-06-10,23900.0
2021-06-11,23900.0
2021-06-12,23900.0
2021-06-13,23900.0
2021-06-14,23900.0
2021-06-15,23700.0
2021-06-16,23400.0
2021-06-17,23100.0
2021-06-18,23100.0
2021-06-19,23100.0
2021-06-20,23100.0
2021-06-21,23000.0
2021-06-22,22600.0
2021-06-23,22300.0
2021-06-24,22300.0
2021-06-25,21900.0
2021-06-26,21800.0
2021-06-27,21800.0
2021-06-28,21900.0
2021-06-29,21900.0
2021-06-30,21900.0
2021-07-01,21900.0
2021-07-02,21900.0
2021-07-03,21900.0
2021-07-04,21800.0
2021-07-05,21800.0
2021-07-06,21800.0
2021-07-07,21700.0
2021-07-08,21045.0
2021-07-09,21045.0
2021-07-10,21045.0
2021-07-11,21045.0
2021-07-12,21045.0
2021-07-13,21045.0
2021-07-14,21300.0
2021-07-15,21700.0
2021-07-16,21900.0
2021-07-17,22200.0
2021-07-18,22200.0
2021-07-19,23000.0
2021-07-20,23200.0
2021-07-21,23200.0
2021-07-22,23100.0
2021-07-23,23200.0
2021-07-24,23600.0
2021-07-25,23600.0
2021-07-26,24000.0
2021-07-27,24100.0
2021-07-28,24100.0
2021-07-29,23800.0
2021-07-30,23800.0
2021-07-31,24000.0
2021-08-01,24000.0
2021-08-02,24000.0
2021-08-03,24000.0
2021-08-04,23500.0
2021-08-05,23700.0
2021-08-06,23300.0
2021-08-07,23300.0
2021-08-08,23100.0
2021-08-09,22800.0
2021-08-10,22600.0
2021-08-11,22600.0
2021-08-12,23000.0
2021-08-13,22700.0
2021-08-14,22700.0
2021-08-15,22200.0
2021-08-16,21600.0
2021-08-17,21800.0
2021-08-18,21800.0
2021-08-19,21800.0
2021-08-20,21600.0
2021-08-21,21200.0
2021-08-22,21100.0
2021-08-23,21200.0
2021-08-24,21045.0
2021-08-25,21045.0
2021-08-26,21045.0
2021-08-27,21045.0
2021-08-28,21045.0
2021-08-29,21045.0
2021-08-30,21045.0
2021-08-31,21045.0
2021-09-01,21045.0
2021-09-02,21045.0
2021-09-03,21045.0
2021-09-04,21045.0
2021-09-05,21045.0
2021-09-06,21045.0
2021-09-07,21045.0
2021-09-08,21045.0
2021-09-09,21045.0
2021-09-10,21045.0
2021-09-11,21045.0
2021-09-12,21045.0
2021-09-13,21045.0
2021-09-14,21045.0
2021-09-15,21045.0
2021-09-16,21045.0
2021-09-17,21045.0
2021-09-18,21045.0
2021-09-19,21045.0
2021-09-20,21045.0
2021-09-21,21045.0
2021-09-22,21045.0
2021-09-23,21045.0
2021-09-24,21045.0
2021-09-25,21045.0
2021-09-26,21045.0
2021-09-27,21045.0
2021-09-28,21045.0
2021-09-29,21045.0
2021-09-30,21045.0
2021-10-01,21045.0
2021-10-02,21045.0
2021-10-03,21045.0
2021-10-04,21045.0
2021-10-05,21045.0
2021-10-06,21045.0
2021-10-07,21045.0
2021-10-08,21045.0
2021-10-09,21045.0
2021-10-10,21045.0
2021-10-11,21045.0
2021-10-12,21045.0
2021-10-13,21045.0
2021-10-14,21045.0
2021-10-15,21045.0
2021-10-16,21045.0
2021-10-17,21045.0
2021-10-18,21045.0
2021-10-19,21045.0
2021-10-20,21045.0
2021-10-21,21045.0
2021-10-22,21045.0
2021-10-23,21045.0
2021-10-24,21045.0
2021-10-25,21045.0
2021-10-26,21045.0
2021-10-27,21045.0
2021-10-28,21045.0
2021-10-29,21045.0
2021-10-30,21045.0
2021-10-31,21045.0
2021-11-01,21045.0
2021-11-02,21045.0
2021-11-03,21045.0
2021-11-04,21045.0
2021-11-05,21045.0
2021-11-06,21045.0
2021-11-07,21400.0
2021-11-08,23200.0
2021-11-09,23600.0
2021-11-10,24600.0
2021-11-11,24600.0
2021-11-12,24200.0
2021-11-13,24000.0
2021-11-14,24000.0
2021-11-15,24000.0
2021-11-16,23800.0
2021-11-17,24000.0
2021-11-18,23600.0
2021-11-19,23400.0
2021-11-20,23400.0
2021-11-21,22600.0
2021-11-22,22400.0
2021-11-23,22400.0
2021-11-24,22000.0
2021-11-25,22000.0
2021-11-26,21500.0
2021-11-27,21600.0
2021-11-28,21600.0
2021-11-29,21800.0
2021-11-30,21600.0
2021-12-01,21600.0
2021-12-02,21400.0
2021-12-03,21200.0
2021-12-04,21200.0
2021-12-05,21200.0
2021-12-06,21200.0
2021-12-07,21200.0
2021-12-08,21200.0
2021-12-09,21045.0
2021-12-10,21045.0
2021-12-11,21300.0
2021-12-12,21700.0
2021-12-13,23100.0
2021-12-14,23700.0
2021-12-15,25200.0
2021-12-16,25200.0
2021-12-17,24800.0
2021-12-18,24600.0
2021-12-19,24600.0
2021-12-20,24600.0
2021-12-21,25300.0
2021-12-22,25300.0
2021-12-23,26400.0
2021-12-24,30400.0
2021-12-25,30400.0
2021-12-26,30000.0
2021-12-27,30000.0
2021-12-28,30000.0
2021-12-29,30000.0
2021-12-30,29400.0
2021-12-31,27000.0
2022-01-01,27000.0
2022-01-02,26800.0
2022-01-03,26400.0
2022-01-04,26000.0
2022-01-05,26000.0
2022-01-06,25000.0
2022-01-07,25000.0
2022-01-08,24400.0
2022-01-09,24400.0
2022-01-10,24200.0
2022-01-11,23200.0
2022-01-12,22900.0
2022-01-13,22500.0
2022-01-14,22300.0
2022-01-15,22000.0
2022-01-16,22000.0
2022-01-17,21600.0
2022-01-18,21600.0
2022-01-19,21600.0
2022-01-20,21045.0
2022-01-21,21045.0
2022-01-22,21045.0
2022-01-23,21045.0
2022-01-24,21045.0
2022-01-25,21045.0
2022-01-26,21045.0
2022-01-27,21045.0
2022-01-28,21045.0
2022-01-29,21045.0
2022-01-30,21045.0
2022-01-31,21045.0
2022-02-01,21045.0
2022-02-02,21045.0
2022-02-03,21045.0
2022-02-04,21045.0
2022-02-05,21045.0
2022-02-06,21045.0
2022-02-07,21045.0
2022-02-08,21045.0
2022-02-09,21045.0
2022-02-10,21045.0
2022-02-11,21045.0
2022-02-12,21045.0
2022-02-13,21045.0
2022-02-14,21045.0
2022-02-15,21045.0
2022-02-16,21045.0
2022-02-17,21045.0
2022-02-18,21045.0
2022-02-19,21045.0
2022-02-20,21045.0
2022-02-21,21045.0
2022-02-22,21045.0
2022-02-23,21045.0
2022-02-24,21045.0
2022-02-25,21045.0
2022-02-26,21200.0
2022-02-27,21200.0
2022-02-28,21400.0
2022-03-01,21045.0
