komoditas,cluster_label
Bawang Merah,C1_LabilInflasi
Bawang Putih Sinco/Honan,C1_LabilInflasi
Beras Medium,C1_LabilInflasi
Beras Premium,C1_LabilInflasi
Cabe Merah Besar,C0_LabilDatar
Cabe Merah Keriting,C0_LabilDatar
Cabe Rawit Merah,C0_LabilDatar
Daging Ayam Kampung,C2_StabilMahal
Daging Ayam Ras,C1_LabilInflasi
Daging Sapi Paha Belakang,C2_StabilMahal
Gula Kristal Putih,C1_LabilInflasi
Ikan Asin Teri,C2_StabilMahal
Ikan Bandeng,C1_LabilInflasi
Ikan Cakalang,C1_LabilInflasi
Ikan Kembung,C1_LabilInflasi
Ikan Tongkol,C1_LabilInflasi
Ikan Tuna,C1_LabilInflasi
Indomie Rasa Kari Ayam,C1_LabilInflasi
Jagung Pipilan Kering,C1_LabilInflasi
Kedelai Impor,C1_LabilInflasi
Kedelai Lokal,C1_LabilInflasi
Minyak Goreng Curah,C1_LabilInflasi
Minyak Goreng Kemasan Premium,C1_LabilInflasi
Minyak Goreng Kemasan Sederhana,C1_LabilInflasi
Minyak Goreng MINYAKITA,C1_LabilInflasi
Susu Bubuk Merk Bendera (Instant),C2_StabilMahal
Susu Bubuk Merk Indomilk (Instant),C2_StabilMahal
Susu Kental Manis Merk Bendera,C1_LabilInflasi
Susu Kental Manis Merk Indomilk,C1_LabilInflasi
Telur Ayam Kampung,C1_LabilInflasi
Telur Ayam Ras,C1_LabilInflasi
Terigu Protein Sedang (Kemasan),C1_LabilInflasi
Tomat Merah,C0_LabilDatar
