komoditas,cv,mean_harga,trend_slope,cluster,dist,is_centroid,cluster_label
BUNCIS,0.14136551120271174,13445.887316276538,0.03288485618197191,1,0.1506895235279366,False,Cluster 1: Labil & Murah (↑Inflasi)
Bata,0.0,1437.0,0.0,1,0.41351707216012024,False,Cluster 1: Labil & Murah (↑Inflasi)
Bawang Merah,0.21911859282000745,32767.2283614589,0.04611846618274752,1,0.31118195785696806,False,Cluster 1: Labil & Murah (↑Inflasi)
Bawang Putih Sinco/Honan,0.19166476570122218,30877.253674469244,0.09720631528948631,1,0.5252213550764901,False,Cluster 1: Labil & Murah (↑Inflasi)
Beras Medium,0.13780520833504495,11180.771910724006,0.08788478895746808,1,0.41989803024429107,False,Cluster 1: Labil & Murah (↑Inflasi)
Beras Premium,0.09102911513466391,13956.934131736527,0.0586288781750786,1,0.17727567686237106,False,Cluster 1: Labil & Murah (↑Inflasi)
Cabe Merah Besar,0.38070414185774354,35811.58737071312,0.01319067114494322,0,0.06348241513856438,True,Cluster 0: Labil & Murah (→Datar)
Cabe Merah Keriting,0.3452578599452703,37934.707947740884,0.01638828627120089,0,0.07033904847263715,False,Cluster 0: Labil & Murah (→Datar)
Cabe Rawit Merah,0.4479394551484959,44357.680457267285,0.040277303003335596,0,0.330004879802336,False,Cluster 0: Labil & Murah (→Datar)
Daging Ayam Kampung,0.0407584091420976,63512.406641262925,0.004092458893048727,2,0.26308310921846717,False,Cluster 2: Stabil & Mahal (→Datar)
Daging Ayam Ras,0.07504645165392923,33809.70985302123,0.022399045331981778,1,0.1681405174025844,False,Cluster 1: Labil & Murah (↑Inflasi)
Daging Sapi Paha Belakang,0.020231855333787106,111150.32498639086,0.010916140102006087,2,0.1776354426947421,False,Cluster 2: Stabil & Mahal (→Datar)
GAS ELPIGI 3 Kg,0.027466400809925694,18424.35873707131,0.015610638635714403,1,0.2320070387683614,False,Cluster 1: Labil & Murah (↑Inflasi)
Gula Kristal Putih,0.13716291816869752,14916.306477953185,0.08664760126784263,1,0.40310567092096,False,Cluster 1: Labil & Murah (↑Inflasi)
Halus,0.04692401650779127,8385.040827436036,0.025022501270590573,1,0.19273217931493467,False,Cluster 1: Labil & Murah (↑Inflasi)
