tanggal,komoditas,harga_per_kg
2021-05-07,Bawang Merah,28800.0
2021-05-08,Bawang Merah,28800.0
2021-05-09,Bawang Merah,29200.0
2021-05-10,Bawang Merah,30000.0
2021-05-11,Bawang Merah,29600.0
2021-05-12,Bawang Merah,30600.0
2021-05-13,Bawang Merah,31000.0
2021-05-14,Bawang Merah,29800.0
2021-05-15,Bawang Merah,29800.0
2021-05-16,Bawang Merah,31000.0
2021-05-17,Bawang Merah,30600.0
2021-05-18,Bawang Merah,30200.0
2021-05-19,Bawang Merah,30200.0
2021-05-20,Bawang Merah,30600.0
2021-05-21,Bawang Merah,30600.0
2021-05-22,Bawang Merah,30200.0
2021-05-23,Bawang Merah,30200.0
2021-05-24,Bawang Merah,29600.0
2021-05-25,Bawang Merah,30000.0
2021-05-26,Bawang Merah,30200.0
2021-05-27,Bawang Merah,29800.0
2021-05-28,Bawang Merah,29400.0
2021-05-29,Bawang Merah,29200.0
2021-05-30,Bawang Merah,29400.0
2021-05-31,Bawang Merah,29000.0
2021-06-01,Bawang Merah,28800.0
2021-06-02,Bawang Merah,28600.0
2021-06-03,Bawang Merah,28600.0
2021-06-04,Bawang Merah,28800.0
2021-06-05,Bawang Merah,28800.0
2021-06-06,Bawang Merah,28600.0
2021-06-07,Bawang Merah,28600.0
2021-06-08,Bawang Merah,28000.0
2021-06-09,Bawang Merah,27800.0
2021-06-10,Bawang Merah,27600.0
2021-06-11,Bawang Merah,27600.0
2021-06-12,Bawang Merah,27600.0
2021-06-13,Bawang Merah,27600.0
2021-06-14,Bawang Merah,27600.0
2021-06-15,Bawang Merah,27600.0
2021-06-16,Bawang Merah,27400.0
2021-06-17,Bawang Merah,27200.0
2021-06-18,Bawang Merah,27200.0
2021-06-19,Bawang Merah,27200.0
2021-06-20,Bawang Merah,27200.0
2021-06-21,Bawang Merah,27200.0
2021-06-22,Bawang Merah,28600.0
2021-06-23,Bawang Merah,28600.0
2021-06-24,Bawang Merah,28600.0
2021-06-25,Bawang Merah,28800.0
2021-06-26,Bawang Merah,29800.0
2021-06-27,Bawang Merah,29800.0
2021-06-28,Bawang Merah,29800.0
2021-06-29,Bawang Merah,29800.0
2021-06-30,Bawang Merah,29800.0
2021-07-01,Bawang Merah,30600.0
2021-07-02,Bawang Merah,30600.0
2021-07-03,Bawang Merah,30600.0
2021-07-04,Bawang Merah,31000.0
2021-07-05,Bawang Merah,30200.0
2021-07-06,Bawang Merah,30600.0
2021-07-07,Bawang Merah,30600.0
2021-07-08,Bawang Merah,30200.0
2021-07-09,Bawang Merah,30400.0
2021-07-10,Bawang Merah,29200.0
2021-07-11,Bawang Merah,29200.0
2021-07-12,Bawang Merah,29200.0
2021-07-13,Bawang Merah,29600.0
2021-07-14,Bawang Merah,29600.0
2021-07-15,Bawang Merah,30000.0
2021-07-16,Bawang Merah,30000.0
2021-07-17,Bawang Merah,29600.0
2021-07-18,Bawang Merah,30000.0
2021-07-19,Bawang Merah,30400.0
2021-07-20,Bawang Merah,30800.0
2021-07-21,Bawang Merah,30400.0
2021-07-22,Bawang Merah,31400.0
2021-07-23,Bawang Merah,31800.0
2021-07-24,Bawang Merah,31200.0
2021-07-25,Bawang Merah,31200.0
2021-07-26,Bawang Merah,31200.0
2021-07-27,Bawang Merah,32600.0
2021-07-28,Bawang Merah,32600.0
2021-07-29,Bawang Merah,33400.0
2021-07-30,Bawang Merah,33400.0
2021-07-31,Bawang Merah,33000.0
2021-08-01,Bawang Merah,33000.0
2021-08-02,Bawang Merah,33000.0
2021-08-03,Bawang Merah,32200.0
2021-08-04,Bawang Merah,31800.0
2021-08-05,Bawang Merah,31200.0
2021-08-06,Bawang Merah,31800.0
2021-08-07,Bawang Merah,31800.0
2021-08-08,Bawang Merah,31600.0
2021-08-09,Bawang Merah,31400.0
2021-08-10,Bawang Merah,31000.0
2021-08-11,Bawang Merah,30600.0
2021-08-12,Bawang Merah,29800.0
2021-08-13,Bawang Merah,31200.0
2021-08-14,Bawang Merah,30800.0
2021-08-15,Bawang Merah,30800.0
2021-08-16,Bawang Merah,29600.0
2021-08-17,Bawang Merah,30200.0
2021-08-18,Bawang Merah,28400.0
2021-08-19,Bawang Merah,28000.0
2021-08-20,Bawang Merah,28000.0
2021-08-21,Bawang Merah,28200.0
2021-08-22,Bawang Merah,28000.0
2021-08-23,Bawang Merah,27400.0
2021-08-24,Bawang Merah,27400.0
2021-08-25,Bawang Merah,26800.0
2021-08-26,Bawang Merah,26800.0
2021-08-27,Bawang Merah,28800.0
2021-08-28,Bawang Merah,27200.0
2021-08-29,Bawang Merah,27200.0
2021-08-30,Bawang Merah,27400.0
2021-08-31,Bawang Merah,27400.0
2021-09-01,Bawang Merah,27200.0
2021-09-02,Bawang Merah,27600.0
2021-09-03,Bawang Merah,27800.0
2021-09-04,Bawang Merah,27200.0
2021-09-05,Bawang Merah,27200.0
2021-09-06,Bawang Merah,26600.0
2021-09-07,Bawang Merah,26800.0
2021-09-08,Bawang Merah,27000.0
2021-09-09,Bawang Merah,27200.0
2021-09-10,Bawang Merah,27400.0
2021-09-11,Bawang Merah,26800.0
2021-09-12,Bawang Merah,26800.0
2021-09-13,Bawang Merah,26800.0
2021-09-14,Bawang Merah,26800.0
2021-09-15,Bawang Merah,26600.0
2021-09-16,Bawang Merah,26600.0
2021-09-17,Bawang Merah,26400.0
2021-09-18,Bawang Merah,26200.0
2021-09-19,Bawang Merah,26200.0
2021-09-20,Bawang Merah,26800.0
2021-09-21,Bawang Merah,26000.0
2021-09-22,Bawang Merah,26000.0
2021-09-23,Bawang Merah,26400.0
2021-09-24,Bawang Merah,26400.0
2021-09-25,Bawang Merah,26200.0
2021-09-26,Bawang Merah,26200.0
2021-09-27,Bawang Merah,25400.0
2021-09-28,Bawang Merah,25800.0
2021-09-29,Bawang Merah,25600.0
2021-09-30,Bawang Merah,25600.0
2021-10-01,Bawang Merah,25600.0
2021-10-02,Bawang Merah,25600.0
2021-10-03,Bawang Merah,25600.0
2021-10-04,Bawang Merah,25800.0
2021-10-05,Bawang Merah,25800.0
2021-10-06,Bawang Merah,26600.0
2021-10-07,Bawang Merah,26600.0
2021-10-08,Bawang Merah,26200.0
2021-10-09,Bawang Merah,26400.0
2021-10-10,Bawang Merah,26400.0
2021-10-11,Bawang Merah,26600.0
2021-10-12,Bawang Merah,26600.0
2021-10-13,Bawang Merah,26600.0
2021-10-14,Bawang Merah,26800.0
2021-10-15,Bawang Merah,26600.0
2021-10-16,Bawang Merah,26600.0
2021-10-17,Bawang Merah,26600.0
2021-10-18,Bawang Merah,26600.0
2021-10-19,Bawang Merah,26400.0
2021-10-20,Bawang Merah,26400.0
2021-10-21,Bawang Merah,26200.0
2021-10-22,Bawang Merah,26200.0
2021-10-23,Bawang Merah,26200.0
2021-10-24,Bawang Merah,26200.0
2021-10-25,Bawang Merah,26200.0
2021-10-26,Bawang Merah,25800.0
2021-10-27,Bawang Merah,25800.0
2021-10-28,Bawang Merah,25600.0
2021-10-29,Bawang Merah,25200.0
2021-10-30,Bawang Merah,25800.0
2021-10-31,Bawang Merah,25200.0
2021-11-01,Bawang Merah,24800.0
2021-11-02,Bawang Merah,24200.0
2021-11-03,Bawang Merah,24600.0
2021-11-04,Bawang Merah,23800.0
2021-11-05,Bawang Merah,23800.0
2021-11-06,Bawang Merah,23800.0
2021-11-07,Bawang Merah,23800.0
2021-11-08,Bawang Merah,24200.0
2021-11-09,Bawang Merah,23800.0
2021-11-10,Bawang Merah,23800.0
2021-11-11,Bawang Merah,24200.0
2021-11-12,Bawang Merah,24200.0
2021-11-13,Bawang Merah,24200.0
2021-11-14,Bawang Merah,23800.0
2021-11-15,Bawang Merah,23400.0
2021-11-16,Bawang Merah,23400.0
2021-11-17,Bawang Merah,24200.0
2021-11-18,Bawang Merah,23800.0
2021-11-19,Bawang Merah,22400.0
2021-11-20,Bawang Merah,23200.0
2021-11-21,Bawang Merah,22400.0
2021-11-22,Bawang Merah,22000.0
2021-11-23,Bawang Merah,22000.0
2021-11-24,Bawang Merah,22000.0
2021-11-25,Bawang Merah,22400.0
2021-11-26,Bawang Merah,22400.0
2021-11-27,Bawang Merah,21600.0
2021-11-28,Bawang Merah,21600.0
2021-11-29,Bawang Merah,22000.0
2021-11-30,Bawang Merah,21600.0
2021-12-01,Bawang Merah,22000.0
2021-12-02,Bawang Merah,22000.0
2021-12-03,Bawang Merah,22400.0
2021-12-04,Bawang Merah,21800.0
2021-12-05,Bawang Merah,21000.0
2021-12-06,Bawang Merah,21600.0
2021-12-07,Bawang Merah,24800.0
2021-12-08,Bawang Merah,23800.0
2021-12-09,Bawang Merah,25000.0
2021-12-10,Bawang Merah,24600.0
2021-12-11,Bawang Merah,24600.0
2021-12-12,Bawang Merah,24600.0
2021-12-13,Bawang Merah,24600.0
2021-12-14,Bawang Merah,25000.0
2021-12-15,Bawang Merah,25600.0
2021-12-16,Bawang Merah,26800.0
2021-12-17,Bawang Merah,27600.0
2021-12-18,Bawang Merah,27600.0
2021-12-19,Bawang Merah,27600.0
2021-12-20,Bawang Merah,27000.0
2021-12-21,Bawang Merah,27200.0
2021-12-22,Bawang Merah,27000.0
2021-12-23,Bawang Merah,27200.0
2021-12-24,Bawang Merah,26200.0
2021-12-25,Bawang Merah,27800.0
2021-12-26,Bawang Merah,26400.0
2021-12-27,Bawang Merah,27800.0
2021-12-28,Bawang Merah,28400.0
2021-12-29,Bawang Merah,26800.0
2021-12-30,Bawang Merah,26800.0
2021-12-31,Bawang Merah,26800.0
2022-01-01,Bawang Merah,25800.0
2022-01-02,Bawang Merah,26800.0
2022-01-03,Bawang Merah,25800.0
2022-01-04,Bawang Merah,26800.0
2022-01-05,Bawang Merah,26800.0
2022-01-06,Bawang Merah,26600.0
2022-01-07,Bawang Merah,26600.0
2022-01-08,Bawang Merah,26200.0
2022-01-09,Bawang Merah,26200.0
2022-01-10,Bawang Merah,25800.0
2022-01-11,Bawang Merah,25800.0
2022-01-12,Bawang Merah,26800.0
2022-01-13,Bawang Merah,26800.0
2022-01-14,Bawang Merah,26000.0
2022-01-15,Bawang Merah,25800.0
2022-01-16,Bawang Merah,25800.0
2022-01-17,Bawang Merah,25800.0
2022-01-18,Bawang Merah,26000.0
2022-01-19,Bawang Merah,26000.0
2022-01-20,Bawang Merah,26000.0
2022-01-21,Bawang Merah,25600.0
2022-01-22,Bawang Merah,25600.0
2022-01-23,Bawang Merah,25600.0
2022-01-24,Bawang Merah,26000.0
2022-01-25,Bawang Merah,25600.0
2022-01-26,Bawang Merah,26200.0
2022-01-27,Bawang Merah,26000.0
2022-01-28,Bawang Merah,26400.0
2022-01-29,Bawang Merah,26000.0
2022-01-30,Bawang Merah,26000.0
2022-01-31,Bawang Merah,26400.0
2022-02-01,Bawang Merah,26400.0
2022-02-02,Bawang Merah,27400.0
2022-02-03,Bawang Merah,27200.0
2022-02-04,Bawang Merah,27200.0
2022-02-05,Bawang Merah,27200.0
2022-02-06,Bawang Merah,30600.0
2022-02-07,Bawang Merah,30000.0
2022-02-08,Bawang Merah,30000.0
2022-02-09,Bawang Merah,30600.0
2022-02-10,Bawang Merah,31800.0
2022-02-11,Bawang Merah,31400.0
2022-02-12,Bawang Merah,31400.0
2022-02-13,Bawang Merah,31800.0
2022-02-14,Bawang Merah,32800.0
2022-02-15,Bawang Merah,31800.0
2022-02-16,Bawang Merah,31800.0
2022-02-17,Bawang Merah,33400.0
2022-02-18,Bawang Merah,31400.0
2022-02-19,Bawang Merah,31400.0
2022-02-20,Bawang Merah,32600.0
2022-02-21,Bawang Merah,31400.0
2022-02-22,Bawang Merah,32200.0
2022-02-23,Bawang Merah,33000.0
2022-02-24,Bawang Merah,33000.0
2022-02-25,Bawang Merah,33000.0
2022-02-26,Bawang Merah,33000.0
2022-02-27,Bawang Merah,31800.0
2022-02-28,Bawang Merah,33000.0
2022-03-01,Bawang Merah,31800.0
2022-03-02,Bawang Merah,31800.0
